049759;12070024;DEUTDEDB171;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16278;Angermünde;DB PFK (Deutsche Bank PGK);21704;;
049760;12070024;DEUTDEDB172;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16252;Bad Freienwalde (Oder);DB PFK (Deutsche Bank PGK);21704;;
049762;12070024;DEUTDEDB122;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16311;Bernau bei Berlin;DB PFK (Deutsche Bank PGK);21704;;
049764;12070024;DEUTDEDB180;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03046;Cottbus;DB PFK (Deutsche Bank PGK);21704;;
049765;12070024;DEUTDEDB173;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16225;Eberswalde;DB PFK (Deutsche Bank PGK);21704;;
049766;12070024;DEUTDEDB174;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15873;Eisenhüttenstadt;DB PFK (Deutsche Bank PGK);21704;;
049767;12070024;DEUTDEDB162;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14612;Falkensee;DB PFK (Deutsche Bank PGK);21704;;
049768;12070024;DEUTDEDB182;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03232;Finsterwalde;DB PFK (Deutsche Bank PGK);21704;;
049769;12070024;DEUTDEDB181;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03149;Forst (Lausitz);DB PFK (Deutsche Bank PGK);21704;;
049770;12070024;DEUTDEDB170;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15203;Frankfurt (Oder);DB PFK (Deutsche Bank PGK);21704;;
049771;12070024;DEUTDEDB175;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15501;Fürstenwalde/Spree;DB PFK (Deutsche Bank PGK);21704;;
049772;12070024;DEUTDEDB183;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03161;Guben;DB PFK (Deutsche Bank PGK);21704;;
049773;12070024;DEUTDEDB125;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16761;Hennigsdorf;DB PFK (Deutsche Bank PGK);21704;;
049774;12070024;DEUTDEDB187;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14902;Jüterbog;DB PFK (Deutsche Bank PGK);21704;;
049775;12070024;DEUTDEDB121;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15701;Königs Wusterhausen;DB PFK (Deutsche Bank PGK);21704;;
